score;titre;employeur;lieu;date_parution;url;mots_cles_lettre;nouveau;source;taux;detail_score
94;Social Media Manager;Jobup;Lausanne;2026-07-24;https://www.jobup.ch/fr/emplois/detail/97a0eb13-d041-4f65-ad43-5b495bba98a3/;social media | contenu | marque;oui;job-room;100%;"missions=37.6; experience=20; allemand=15; localisation=15; employeur=6"
90;PWS Global Marketing Manager - Medienjobs;Logitech Europe S.A.;Lausanne;2026-08-14;https://medienjobs.ch/kommunikation-marketing-verkauf/pws-global-marketing-manager/;marketing | digital | growth;oui;job-room;15%;"missions=40; experience=14; allemand=15; localisation=15; employeur=6"
88;Brand Manager à 80-100%;Alloboissons SA;Givisiez;2026-08-19;https://www.jobup.ch/fr/emplois/detail/5eb72e37-85f7-4383-bdc6-7478b804a2d9/?utm_source=job-room.ch&utm_medium=affiliate&utm_campaign=wb:jobup|tg:b2c|cn:ch|lg:fr|ct:targeting,nonbrand,job|cd:feedonomics-jobroom|mg:job-application|pd:n|tt:organic;brand | marque | marketing;oui;job-room;80-100%;"missions=40; experience=20; allemand=13.5; localisation=9; employeur=6"
86;Chargé de communication pour le SPS;EPFL;Lausanne;2026-08-19;https://www.jobup.ch/fr/emplois/detail/d45f62a1-2bc0-42ab-89b3-ef94a0b2a221/?utm_source=job-room.ch&utm_medium=affiliate&utm_campaign=wb:jobup|tg:b2c|cn:ch|lg:fr|ct:targeting,nonbrand,job|cd:feedonomics-jobroom|mg:job-application|pd:n|tt:organic;communication | reseaux sociaux | relations publiques;oui;job-room;60%;"missions=40; experience=14; allemand=10.5; localisation=15; employeur=6"
83;Content Manager (h/f) 80-100%;Groupe Mutuel;Lausanne;2026-07-08;https://groupemutuel.csod.com/ux/ats/careersite/4/home/requisition/4189?c=groupemutuel;contenu | communication | marketing;oui;job-room;80-100%;"missions=37.6; experience=14; allemand=10.5; localisation=15; employeur=6"
80;Senior Growth Marketing Manager (m/d/w) 80-100% - Berlin;Neue Zürcher Zeitung (Deutschland) GmbH;Rolle;2026-07-11;https://karriere.nzz.ch/offene-stellen/senior-growth-marketing-manager-m-d-w-berlin/b8b2211b-cd12-4099-b46d-4f012acc91f7;marketing | growth | digital;oui;job-room;80-100%;"missions=35.5; experience=20; allemand=3.8; localisation=15; employeur=6"
79;Junior Social Media & Digital Communications Coordinator;Brigitte Burki, services;Glion;2026-08-19;https://www.jobup.ch/fr/emplois/detail/2513dd06-d0aa-4e06-858e-bd16c6b96aec/?utm_source=job-room.ch&utm_medium=affiliate&utm_campaign=wb:jobup|tg:b2c|cn:ch|lg:fr|ct:targeting,nonbrand,job|cd:feedonomics-jobroom|mg:job-application|pd:n|tt:organic;social media | digital | communication;oui;job-room;100%;"missions=26.2; experience=17; allemand=15; localisation=15; employeur=6"
77;Secrétaire d-associations/fondations (80%);Jobup;Genève;2026-08-14;https://www.jobup.ch/fr/emplois/detail/e7fba7e3-9b6f-4ba8-a57d-44b9150b1a91/;relations publiques | relations medias | communication;oui;job-room;80%;"missions=27.4; experience=14; allemand=15; localisation=15; employeur=6"
75;Responsable du service de la communication et des manifestations;Commune de Plan-les-Ouates;Plan-les-Ouates;2026-08-19;https://www.jobup.ch/fr/emplois/detail/d327acee-48b1-42bf-91c9-0b76b6eec2ad/?utm_source=job-room.ch&utm_medium=affiliate&utm_campaign=wb:jobup|tg:b2c|cn:ch|lg:fr|ct:targeting,nonbrand,job|cd:feedonomics-jobroom|mg:job-application|pd:n|tt:organic;communication | manifestations | evenement;oui;job-room;100%;"missions=24; experience=14; allemand=15; localisation=15; employeur=7"
75;Marketing Coordinator Tradefairs (f/m/d);Jobup;Le Grand-Saconnex;2026-08-15;https://www.jobup.ch/fr/emplois/detail/4571524d-368a-4f9d-a1fa-c988c037100a/;marketing | evenement | contenu;oui;job-room;100%;"missions=26.2; experience=14; allemand=13.5; localisation=15; employeur=6"
75;Social Media & Community Engagement Officer in Geneva;Médecins Sans Frontières;Genève;2026-08-19;https://www.jobup.ch/fr/emplois/detail/ae7152d3-4f29-4342-b506-cb2e0b43a99c/?utm_source=job-room.ch&utm_medium=affiliate&utm_campaign=wb:jobup|tg:b2c|cn:ch|lg:fr|ct:targeting,nonbrand,job|cd:feedonomics-jobroom|mg:job-application|pd:n|tt:organic;social media | digital | community;oui;job-room;100%;"missions=25.3; experience=14; allemand=15; localisation=15; employeur=6"
75;International Marketing Trainee;The Swatch Group SA;Le Locle;2026-07-09;https://www.swatchgroup.com/en/job/32457;marketing | reseaux sociaux | relations presse;oui;job-room;75%;"missions=26.8; experience=14; allemand=15; localisation=9; employeur=10"
73;Digital Content Specialist;The Swatch Group SA;Le Locle;2026-07-09;https://www.swatchgroup.com/en/job/32456;digital | marketing | brand;oui;job-room;75%;"missions=24.9; experience=14; allemand=15; localisation=9; employeur=10"
